sample_id,FAIL,PASS,WARN,qc_fail_rate,avg_total_reads_all,avg_mapped_all,avg_unmapped_all,avg_mapping_rate_all,avg_mapped_mapq30,avg_mapping_rate_mapq30,best_variant,best_mapped_per_mb,second_mapped_per_mb,confidence_gap,classification
SAMPLE1,9,42,15,0.1363636363636363,399619.3333333333,396512.6666666667,3106.6666666666665,0.9922259526525208,144714.66666666666,1.0,CP001509.3,30585.896951924416,816.3760086566881,29769.52094326773,MATCH
SAMPLE3,6,42,12,0.1,400252.6666666667,367939.3333333333,32313.33333333333,0.919267705150875,126835.0,1.0,NC_002695.2,8770.206891066502,8717.425543394138,52.78134767236406,MATCH
SAMPLE2,3,51,12,0.0454545454545454,399986.0,21.33333333333333,399964.6666666667,5.333520006533562e-05,0.0,0.0,CP001509.3,0.0,0.0,0.0,NO_MATCH
