sample_id,FAIL,qc_fail_rate,avg_mapping_rate_all,classification
SAMPLE1,9,0.1363636363636363,0.9922259526525208,MATCH
SAMPLE3,6,0.1,0.919267705150875,MATCH
SAMPLE2,3,0.0454545454545454,5.333520006533562e-05,NO_MATCH
